time,win,loss,prim_tent,prim_gale,seg_gale
2022-07-16 23:11:00.321055,1,0,1,0,0
2022-07-17 00:18:33.734039,1,0,0,1,0
2022-07-17 00:21:10.391734,1,0,0,1,0
2022-07-17 00:25:34.191494,1,0,1,0,0
2022-07-17 00:28:34.396587,0,1,0,0,0
2022-07-17 00:33:05.467917,1,0,0,1,0
2022-07-17 00:36:34.840173,1,0,0,0,1
2022-07-17 00:39:35.252446,1,0,0,1,0
2022-07-17 00:45:35.184891,0,1,0,0,0
2022-07-17 00:56:05.601943,1,0,0,1,0
2022-07-17 00:58:35.758911,0,1,0,0,0
2022-07-17 01:03:06.232249,1,0,0,1,0
2022-07-17 01:05:36.821036,1,0,0,0,1
2022-07-17 01:11:36.571614,1,0,1,0,0
2022-07-17 01:14:37.438155,1,0,0,1,0
2022-07-17 01:17:36.996540,1,0,1,0,0
2022-07-17 01:29:37.497710,1,0,0,1,0
2022-07-17 01:40:48.417277,0,1,0,0,0
2022-07-17 01:44:38.358781,1,0,1,0,0
